分数,人数
886,1
883,1
878,1
875,1
872,1
870,1
867,1
865,1
863,1
861,1
859,1
857,1
855,1
854,1
852,1
851,1
849,1
847,3
844,1
843,1
842,1
840,2
839,1
838,1
836,1
835,2
834,2
833,1
832,1
831,2
829,1
828,2
827,2
826,2
824,3
823,1
822,2
821,1
820,2
819,2
818,2
817,2
816,1
815,1
814,4
813,4
812,3
810,1
809,5
808,3
807,3
806,2
805,2
804,4
803,4
802,1
801,3
800,2
799,3
798,2
797,5
796,3
795,3
794,5
793,5
792,2
791,3
790,5
789,5
788,4
787,7
786,3
785,3
784,4
783,2
782,7
781,5
780,7
779,3
778,5
777,4
776,4
775,3
774,5
773,10
772,3
771,4
770,12
769,3
768,8
767,7
766,6
765,8
764,7
763,10
762,6
761,8
760,10
759,8
758,4
757,11
756,14
755,6
754,12
753,8
752,11
751,7
750,9
749,9
748,10
747,13
746,7
745,10
744,12
743,15
742,11
741,16
740,8
739,12
738,14
737,11
736,12
735,12
734,12
733,19
732,11
731,16
730,12
729,19
728,10
727,13
726,21
725,12
724,15
723,16
722,22
721,11
720,12
719,15
718,24
717,16
716,18
715,25
714,25
713,21
712,24
711,12
710,15
709,21
708,22
707,26
706,23
705,23
704,23
703,34
702,26
701,20
700,31
699,23
698,27
697,31
696,26
695,28
694,18
693,29
692,28
691,25
690,22
689,24
688,29
687,31
686,32
685,26
684,40
683,28
682,35
681,28
680,36
679,27
678,32
677,32
676,30
675,39
674,47
673,39
672,26
671,33
670,36
669,35
668,52
667,35
666,41
665,41
664,42
663,39
662,36
661,37
660,44
659,39
658,47
657,44
656,47
655,34
654,40
653,50
652,48
651,52
650,47
649,51
648,45
647,47
646,40
645,48
644,44
643,60
642,55
641,54
640,50
639,49
638,60
637,61
636,59
635,44
634,44
633,76
632,46
631,55
630,57
629,54
628,55
627,62
626,62
625,57
624,48
623,54
622,47
621,60
620,55
619,68
618,67
617,63
616,84
615,64
614,66
613,65
612,73
611,80
610,63
609,55
608,85
607,66
606,74
605,62
604,68
603,60
602,66
601,61
600,64
599,75
598,47
597,62
596,89
595,71
594,68
593,67
592,88
591,67
590,80
589,82
588,52
587,98
586,73
585,68
584,81
583,67
582,80
581,79
580,92
579,88
578,83
577,64
576,73
575,70
574,79
573,78
572,80
571,90
570,94
569,88
568,73
567,81
566,84
565,74
564,70
563,85
562,85
561,85
560,78
559,81
558,78
557,92
556,83
555,48
554,64
553,87
552,83
551,76
550,77
549,77
548,77
547,79
546,63
545,81
544,100
543,80
542,81
541,74
540,87
539,83
538,72
537,81
536,83
535,66
534,87
533,96
532,84
531,67
530,70
529,80
528,77
527,85
526,76
525,83
524,82
523,57
522,65
521,69
520,63
519,76
518,71
517,88
516,74
515,76
514,65
513,54
512,62
511,69
510,53
509,83
508,67
507,76
506,73
505,73
504,71
503,57
502,66
501,85
500,67
499,78
498,67
497,66
496,62
495,53
494,71
493,67
492,65
491,50
490,55
489,66
488,46
487,49
486,69
485,55
484,61
483,65
482,44
481,56
480,45
479,64
478,57
477,43
476,66
475,52
474,46
473,60
472,45
471,58
470,43
469,63
468,53
467,50
466,53
465,46
464,43
463,48
462,47
461,42
460,40
459,57
458,48
457,36
456,40
455,33
454,36
453,51
452,50
451,47
450,36
449,48
448,44
447,40
446,38
445,37
444,41
443,41
442,32
441,37
440,37
439,30
438,36
437,37
436,48
435,39
434,27
433,36
432,31
431,32
430,40
429,31
428,26
427,32
426,31
425,22
424,33
423,32
422,25
421,30
420,30
419,24
418,32
417,32
416,19
415,20
414,22
413,31
412,21
411,31
410,25
409,33
408,25
407,25
406,32
405,22
404,20
403,20
402,25
401,37
400,30
399,23
398,24
397,20
396,26
395,28
394,31
393,24
392,24
391,21
390,22
389,22
388,23
387,16
386,18
385,18
384,21
383,17
382,13
381,21
380,14
379,16
378,12
377,10
376,16
375,21
374,12
373,12
372,20
371,14
370,15
369,14
368,12
367,15
366,11
365,9
364,19
363,23
362,13
361,16
360,18
359,15
358,8
357,13
356,10
355,15
354,14
353,16
352,21
351,9
350,11
349,10
348,5
347,14
346,5
345,9
344,6
343,17
342,3
341,12
340,6
339,15
338,8
337,6
336,8
335,11
334,10
333,8
332,7
331,10
330,11
329,10
328,6
327,11
326,3
325,8
324,10
323,6
322,7
321,4
320,4
319,3
318,3
317,10
316,7
315,13
314,4
313,6
312,6
311,8
310,5
309,2
308,6
307,4
306,8
305,5
304,4
303,4
302,8
301,8
300,3
299,4
298,5
297,4
296,2
295,3
294,3
293,6
292,3
291,6
290,4
289,4
288,4
287,4
286,2
285,4
284,2
283,3
282,3
281,5
280,3
279,3
278,3
277,3
276,2
275,1
274,5
273,0
272,3
271,4
270,2
269,4
268,2
267,2
266,0
265,1
264,1
263,6
262,2
261,5
260,3
258,1
257,2
256,0
255,3
254,0
253,2
252,3
250,0
249,0
248,0
247,2
246,1
245,0
244,1
243,1
242,0
241,3
240,1
239,0
238,1
237,0
236,2
235,1
234,0
232,0
231,1
229,1
228,1
227,1
226,1
225,0
224,2
223,1
222,1
221,0
220,2
219,0
218,2
217,1
216,1
215,0
214,1
213,1
211,1
210,0
209,1
207,2
206,1
205,1
203,1
202,0
201,0
198,0
196,1
195,1
194,0
192,0
186,1
185,0
182,1
177,0
175,0
173,1
168,1
167,0
157,0
143,0
138,1
133,0
131,1
116,0
